instance_id,rdf:type,oa:hasTarget,oa:hasBodyValue,prov:wasGeneratedBy
viewsari:annotation_24828,"oa:Annotation, prov:Entity",viewsari:textchunk_24828,"Giotto, his pupil",viewsari:cooccurrence_extraction_cim-gio_1
viewsari:annotation_24829,"oa:Annotation, prov:Entity",viewsari:textchunk_24829,"his son, many edifices of importance both in Italy and abroad, whereof I have not been able to find the architects, such as the Abbey of Monreale in Sicily, the Piscopio of Naples, the Certosa of Pavia, the Duomo of Milan, S. Pietro and S. Petronio in Bologna, and many others which are seen throughout all Italy, built at incredible cost. Having seen all these buildings for myself and studied them, and likewise many sculptures of those times, particularly in Ravenna, and not having ever found, I do not say any memorials of the masters, but even many times the date when they were built, I cannot but marvel at the rudeness and little desire for glory of the men of that age. But returning to our subject; after the buildings named above, there began at last to arise men of a more exalted spirit, who, if they did not find, sought at least to find something of the good. The first was Buono, of whom I know neither the country nor the surname, for the reason that in making record of himself",viewsari:cooccurrence_extraction_buo-ted_1
viewsari:annotation_24830,"oa:Annotation, prov:Entity",viewsari:textchunk_24830,Arnolfo there descended Filippo di Ser Brunellesco,viewsari:cooccurrence_extraction_bru-lap_1
viewsari:annotation_24831,"oa:Annotation, prov:Entity",viewsari:textchunk_24831,"Niccola, returning to Tuscany, found that Fuccio",viewsari:cooccurrence_extraction_fuc-pis_1
viewsari:annotation_24832,"oa:Annotation, prov:Entity",viewsari:textchunk_24832,his father Niccola,viewsari:cooccurrence_extraction_pis-pis_1_01
viewsari:annotation_24833,"oa:Annotation, prov:Entity",viewsari:textchunk_24833,"he having given better design and form to the art of painting) in the men of those times, used to seeing nothing save works done after the Greek manner, even so the works in mosaic of Andrea Tafi, who lived in the same times",viewsari:cooccurrence_extraction_cim-taf_1
viewsari:annotation_24834,"oa:Annotation, prov:Entity",viewsari:textchunk_24834,"Apollonio, to his",viewsari:cooccurrence_extraction_apo-taf_1
viewsari:annotation_24835,"oa:Annotation, prov:Entity",viewsari:textchunk_24835,he opened the way to good work to Giotto,viewsari:cooccurrence_extraction_gio-taf_1
viewsari:annotation_24836,"oa:Annotation, prov:Entity",viewsari:textchunk_24836,"the dead Giotto, he",viewsari:cooccurrence_extraction_gad-gio_1_01
viewsari:annotation_24837,"oa:Annotation, prov:Entity",viewsari:textchunk_24837,"his disciple Giotto, whose good work in painting was making their glory shine throughout all Italy, was one Margaritone, painter of Arezzo, who, with the others who in that unhappy century were holding the highest rank in painting, recognized that their works were little less than wholly obscuring his",viewsari:cooccurrence_extraction_cim-mar_1
viewsari:annotation_24838,"oa:Annotation, prov:Entity",viewsari:textchunk_24838,Lapo; but he,viewsari:cooccurrence_extraction_mar-ted_1
viewsari:annotation_24839,"oa:Annotation, prov:Entity",viewsari:textchunk_24839,"Lorenzo di Cione Ghiberti has left in writing, Giotto",viewsari:cooccurrence_extraction_ghi-gio_1
viewsari:annotation_24840,"oa:Annotation, prov:Entity",viewsari:textchunk_24840,his master Giotto,viewsari:cooccurrence_extraction_cap-gio_1
viewsari:annotation_24841,"oa:Annotation, prov:Entity",viewsari:textchunk_24841,"Giovanni and Niccola of Pisa, Agostino and Agnolo",viewsari:cooccurrence_extraction_agn-pis_1
viewsari:annotation_24842,"oa:Annotation, prov:Entity",viewsari:textchunk_24842,his brother Agnolo,viewsari:cooccurrence_extraction_agn-ago_1
viewsari:annotation_24843,"oa:Annotation, prov:Entity",viewsari:textchunk_24843,"Agostino, then, being engaged in working with Giovanni",viewsari:cooccurrence_extraction_ago-pis_1
viewsari:annotation_24844,"oa:Annotation, prov:Entity",viewsari:textchunk_24844,Agostino and Agnolo of Siena pleased him,viewsari:cooccurrence_extraction_ago-gio_1
viewsari:annotation_24845,"oa:Annotation, prov:Entity",viewsari:textchunk_24845,Agnolo of Siena pleased him,viewsari:cooccurrence_extraction_agn-gio_1
viewsari:annotation_24846,"oa:Annotation, prov:Entity",viewsari:textchunk_24846,Stefano than of Giotto,viewsari:cooccurrence_extraction_gio-ste_1
viewsari:annotation_24847,"oa:Annotation, prov:Entity",viewsari:textchunk_24847,his master,viewsari:cooccurrence_extraction_gio-san_1_01
viewsari:annotation_24848,"oa:Annotation, prov:Entity",viewsari:textchunk_24848,he imitated in such wise the manner of Giotto,viewsari:cooccurrence_extraction_gio-lau_1
viewsari:annotation_24849,"oa:Annotation, prov:Entity",viewsari:textchunk_24849,"Pietro was Bartolommeo Bologhini of Siena, who wrought many panels in Siena and other places in Italy",viewsari:cooccurrence_extraction_bol-lau_1
viewsari:annotation_24850,"oa:Annotation, prov:Entity",viewsari:textchunk_24850,"his being a Florentine, but only of Andrea",viewsari:cooccurrence_extraction_gad-pis_1
viewsari:annotation_24851,"oa:Annotation, prov:Entity",viewsari:textchunk_24851,his father,viewsari:cooccurrence_extraction_pis-pis_1_02
viewsari:annotation_24852,"oa:Annotation, prov:Entity",viewsari:textchunk_24852,he had himself,viewsari:cooccurrence_extraction_buf-taf_1
viewsari:annotation_24853,"oa:Annotation, prov:Entity",viewsari:textchunk_24853,him all that he,viewsari:cooccurrence_extraction_buf-gio_1
viewsari:annotation_24854,"oa:Annotation, prov:Entity",viewsari:textchunk_24854,"Giotto, that he",viewsari:cooccurrence_extraction_cav-gio_1
